/usr/bin/hive
2024	1	1	81013	81013	MATCH
2024	1	2	75519	75519	MATCH
2024	1	3	82427	82427	MATCH
2024	1	4	102901	102901	MATCH
2024	1	5	103178	103178	MATCH
2024	1	6	97117	97117	MATCH
2024	1	7	67543	67543	MATCH
2024	1	8	80034	80034	MATCH
2024	1	9	93962	93962	MATCH
2024	1	10	95000	95000	MATCH
2024	1	11	105010	105010	MATCH
2024	1	12	103655	103655	MATCH
2024	1	13	104758	104758	MATCH
2024	1	14	94420	94420	MATCH
2024	1	15	77033	77033	MATCH
2024	1	16	93057	93057	MATCH
2024	1	17	110365	110365	MATCH
2024	1	18	110358	110358	MATCH
2024	1	19	95951	95951	MATCH
2024	1	20	108768	108768	MATCH
2024	1	21	84502	84502	MATCH
2024	1	22	85650	85650	MATCH
2024	1	23	99891	99891	MATCH
2024	1	24	105120	105120	MATCH
2024	1	25	110318	110318	MATCH
2024	1	26	105804	105804	MATCH
2024	1	27	110515	110515	MATCH
2024	1	28	92837	92837	MATCH
2024	1	29	84547	84547	MATCH
2024	1	30	101233	101233	MATCH
2024	1	31	102120	102120	MATCH
